Norms_ID,Sport_ID,Position_ID,Norm_Group_ID,Year_ID,Percentile_ID,Metric_ID,Pillar_ID,Norm_Value
14365,2,1,3,2,5,4,1,67.00
14366,2,2,3,2,5,4,1,64.00
14367,2,3,3,2,5,4,1,70.00
14368,2,4,3,2,5,4,1,71.75
14369,2,5,3,2,5,4,1,65.25
14370,2,1,3,2,4,4,1,71.00
14371,2,2,3,2,4,4,1,72.00
14372,2,3,3,2,4,4,1,74.00
14373,2,4,3,2,4,4,1,76.00
14374,2,5,3,2,4,4,1,70.00
14375,2,1,3,2,3,4,1,77.00
14376,2,2,3,2,3,4,1,76.00
14377,2,3,3,2,3,4,1,81.00
14378,2,4,3,2,3,4,1,81.25
14379,2,5,3,2,3,4,1,76.00
14380,2,1,3,2,2,4,1,84.00
14381,2,2,3,2,2,4,1,82.00
14382,2,3,3,2,2,4,1,88.00
14383,2,4,3,2,2,4,1,88.00
14384,2,5,3,2,2,4,1,86.00
14385,2,1,3,2,1,4,1,90.00
14386,2,2,3,2,1,4,1,89.00
14387,2,3,3,2,1,4,1,94.00
14388,2,4,3,2,1,4,1,103.00
14389,2,5,3,2,1,4,1,94.00
14465,2,1,3,2,5,1,1,3.44
14466,2,2,3,2,5,1,1,3.40
14467,2,3,3,2,5,1,1,3.27
14468,2,4,3,2,5,1,1,3.24
14469,2,5,3,2,5,1,1,3.45
14470,2,1,3,2,4,1,1,3.30
14471,2,2,3,2,4,1,1,3.26
14472,2,3,3,2,4,1,1,3.13
14473,2,4,3,2,4,1,1,3.11
14474,2,5,3,2,4,1,1,3.28
14475,2,1,3,2,3,1,1,3.16
14476,2,2,3,2,3,1,1,3.12
14477,2,3,3,2,3,1,1,3.02
14478,2,4,3,2,3,1,1,2.99
14479,2,5,3,2,3,1,1,3.15
14480,2,1,3,2,2,1,1,2.96
14481,2,2,3,2,2,1,1,2.95
14482,2,3,3,2,2,1,1,2.87
14483,2,4,3,2,2,1,1,2.85
14484,2,5,3,2,2,1,1,2.99
14485,2,1,3,2,1,1,1,2.79
14486,2,2,3,2,1,1,1,2.73
14487,2,3,3,2,1,1,1,2.74
14488,2,4,3,2,1,1,1,2.66
14489,2,5,3,2,1,1,1,2.74
14565,2,1,3,2,5,2,1,13.79
14566,2,2,3,2,5,2,1,13.56
14567,2,3,3,2,5,2,1,12.98
14568,2,4,3,2,5,2,1,12.80
14569,2,5,3,2,5,2,1,13.97
14570,2,1,3,2,4,2,1,13.10
14571,2,2,3,2,4,2,1,13.01
14572,2,3,3,2,4,2,1,12.50
14573,2,4,3,2,4,2,1,12.38
14574,2,5,3,2,4,2,1,13.19
14575,2,1,3,2,3,2,1,12.54
14576,2,2,3,2,3,2,1,12.53
14577,2,3,3,2,3,2,1,12.00
14578,2,4,3,2,3,2,1,11.98
14579,2,5,3,2,3,2,1,12.57
14580,2,1,3,2,2,2,1,12.03
14581,2,2,3,2,2,2,1,11.86
14582,2,3,3,2,2,2,1,11.51
14583,2,4,3,2,2,2,1,11.41
14584,2,5,3,2,2,2,1,12.00
14585,2,1,3,2,1,2,1,11.12
14586,2,2,3,2,1,2,1,11.15
14587,2,3,3,2,1,2,1,10.98
14588,2,4,3,2,1,2,1,10.64
14589,2,5,3,2,1,2,1,11.18
14665,2,1,3,2,5,5,1,68.00
14666,2,2,3,2,5,5,1,66.15
14667,2,3,3,2,5,5,1,63.60
14668,2,4,3,2,5,5,1,64.00
14669,2,5,3,2,5,5,1,67.20
14670,2,1,3,2,4,5,1,76.00
14671,2,2,3,2,4,5,1,74.00
14672,2,3,3,2,4,5,1,71.40
14673,2,4,3,2,4,5,1,71.00
14674,2,5,3,2,4,5,1,75.40
14675,2,1,3,2,3,5,1,85.95
14676,2,2,3,2,3,5,1,84.25
14677,2,3,3,2,3,5,1,80.20
14678,2,4,3,2,3,5,1,79.60
14679,2,5,3,2,3,5,1,85.60
14680,2,1,3,2,2,5,1,98.98
14681,2,2,3,2,2,5,1,100.19
14682,2,3,3,2,2,5,1,92.96
14683,2,4,3,2,2,5,1,95.10
14684,2,5,3,2,2,5,1,99.70
14685,2,1,3,2,1,5,1,119.00
14686,2,2,3,2,1,5,1,112.00
14687,2,3,3,2,1,5,1,113.00
14688,2,4,3,2,1,5,1,124.00
14689,2,5,3,2,1,5,1,121.40
14765,2,1,3,2,5,6,1,62.20
14766,2,2,3,2,5,6,1,61.00
14767,2,3,3,2,5,6,1,59.40
14768,2,4,3,2,5,6,1,59.70
14769,2,5,3,2,5,6,1,62.00
14770,2,1,3,2,4,6,1,71.50
14771,2,2,3,2,4,6,1,70.50
14772,2,3,3,2,4,6,1,66.70
14773,2,4,3,2,4,6,1,66.00
14774,2,5,3,2,4,6,1,69.80
14775,2,1,3,2,3,6,1,80.00
14776,2,2,3,2,3,6,1,78.05
14777,2,3,3,2,3,6,1,74.00
14778,2,4,3,2,3,6,1,75.60
14779,2,5,3,2,3,6,1,77.90
14780,2,1,3,2,2,6,1,94.58
14781,2,2,3,2,2,6,1,93.26
14782,2,3,3,2,2,6,1,86.16
14783,2,4,3,2,2,6,1,87.25
14784,2,5,3,2,2,6,1,92.12
14785,2,1,3,2,1,6,1,112.20
14786,2,2,3,2,1,6,1,115.00
14787,2,3,3,2,1,6,1,99.00
14788,2,4,3,2,1,6,1,116.40
14789,2,5,3,2,1,6,1,114.80
14865,2,1,3,2,5,3,1,5.73
14866,2,2,3,2,5,3,1,5.72
14867,2,3,3,2,5,3,1,5.51
14868,2,4,3,2,5,3,1,5.39
14869,2,5,3,2,5,3,1,5.70
14870,2,1,3,2,4,3,1,5.40
14871,2,2,3,2,4,3,1,5.48
14872,2,3,3,2,4,3,1,5.22
14873,2,4,3,2,4,3,1,5.18
14874,2,5,3,2,4,3,1,5.52
14875,2,1,3,2,3,3,1,5.20
14876,2,2,3,2,3,3,1,5.28
14877,2,3,3,2,3,3,1,5.01
14878,2,4,3,2,3,3,1,4.93
14879,2,5,3,2,3,3,1,5.30
14880,2,1,3,2,2,3,1,4.94
14881,2,2,3,2,2,3,1,5.00
14882,2,3,3,2,2,3,1,4.79
14883,2,4,3,2,2,3,1,4.68
14884,2,5,3,2,2,3,1,4.98
14885,2,1,3,2,1,3,1,4.80
14886,2,2,3,2,1,3,1,4.86
14887,2,3,3,2,1,3,1,4.59
14888,2,4,3,2,1,3,1,4.46
14889,2,5,3,2,1,3,1,4.70
14965,2,1,3,2,5,21,4,52.00
14966,2,2,3,2,5,21,4,51.00
14967,2,3,3,2,5,21,4,52.00
14968,2,4,3,2,5,21,4,52.00
14969,2,5,3,2,5,21,4,51.00
14970,2,1,3,2,4,21,4,55.00
14971,2,2,3,2,4,21,4,54.00
14972,2,3,3,2,4,21,4,55.00
14973,2,4,3,2,4,21,4,56.00
14974,2,5,3,2,4,21,4,54.00
14975,2,1,3,2,3,21,4,58.00
14976,2,2,3,2,3,21,4,57.00
14977,2,3,3,2,3,21,4,59.00
14978,2,4,3,2,3,21,4,58.00
14979,2,5,3,2,3,21,4,57.00
14980,2,1,3,2,2,21,4,63.00
14981,2,2,3,2,2,21,4,61.00
14982,2,3,3,2,2,21,4,62.00
14983,2,4,3,2,2,21,4,63.00
14984,2,5,3,2,2,21,4,61.00
14985,2,1,3,2,1,21,4,72.00
14986,2,2,3,2,1,21,4,67.00
14987,2,3,3,2,1,21,4,71.00
14988,2,4,3,2,1,21,4,68.00
14989,2,5,3,2,1,21,4,66.00
15065,2,1,3,2,5,8,2,62.00
15066,2,2,3,2,5,8,2,61.00
15067,2,3,3,2,5,8,2,60.00
15068,2,4,3,2,5,8,2,59.00
15069,2,5,3,2,5,8,2,61.00
15070,2,1,3,2,4,8,2,65.00
15071,2,2,3,2,4,8,2,65.00
15072,2,3,3,2,4,8,2,63.00
15073,2,4,3,2,4,8,2,62.00
15074,2,5,3,2,4,8,2,65.00
15075,2,1,3,2,3,8,2,68.00
15076,2,2,3,2,3,8,2,68.25
15077,2,3,3,2,3,8,2,67.00
15078,2,4,3,2,3,8,2,66.00
15079,2,5,3,2,3,8,2,68.00
15080,2,1,3,2,2,8,2,73.00
15081,2,2,3,2,2,8,2,73.00
15082,2,3,3,2,2,8,2,71.00
15083,2,4,3,2,2,8,2,71.25
15084,2,5,3,2,2,8,2,73.00
15085,2,1,3,2,1,8,2,86.00
15086,2,2,3,2,1,8,2,78.00
15087,2,3,3,2,1,8,2,80.00
15088,2,4,3,2,1,8,2,79.00
15089,2,5,3,2,1,8,2,81.00
15165,2,1,3,2,5,7,2,55.30
15166,2,2,3,2,5,7,2,55.63
15167,2,3,3,2,5,7,2,54.20
15168,2,4,3,2,5,7,2,53.25
15169,2,5,3,2,5,7,2,55.13
15170,2,1,3,2,4,7,2,57.55
15171,2,2,3,2,4,7,2,58.40
15172,2,3,3,2,4,7,2,56.80
15173,2,4,3,2,4,7,2,56.10
15174,2,5,3,2,4,7,2,57.60
15175,2,1,3,2,3,7,2,60.38
15176,2,2,3,2,3,7,2,61.18
15177,2,3,3,2,3,7,2,59.25
15178,2,4,3,2,3,7,2,58.75
15179,2,5,3,2,3,7,2,60.00
15180,2,1,3,2,2,7,2,64.30
15181,2,2,3,2,2,7,2,64.30
15182,2,3,3,2,2,7,2,62.82
15183,2,4,3,2,2,7,2,62.37
15184,2,5,3,2,2,7,2,64.13
15185,2,1,3,2,1,7,2,69.50
15186,2,2,3,2,1,7,2,69.40
15187,2,3,3,2,1,7,2,67.30
15188,2,4,3,2,1,7,2,67.20
15189,2,5,3,2,1,7,2,72.70
15265,2,1,3,2,5,9,2,7.70
15266,2,2,3,2,5,9,2,7.03
15267,2,3,3,2,5,9,2,7.10
15268,2,4,3,2,5,9,2,6.95
15269,2,5,3,2,5,9,2,7.33
15270,2,1,3,2,4,9,2,10.05
15271,2,2,3,2,4,9,2,9.70
15272,2,3,3,2,4,9,2,9.60
15273,2,4,3,2,4,9,2,9.30
15274,2,5,3,2,4,9,2,9.80
15275,2,1,3,2,3,9,2,12.50
15276,2,2,3,2,3,9,2,12.80
15277,2,3,3,2,3,9,2,12.05
15278,2,4,3,2,3,9,2,12.00
15279,2,5,3,2,3,9,2,12.48
15280,2,1,3,2,2,9,2,15.67
15281,2,2,3,2,2,9,2,17.95
15282,2,3,3,2,2,9,2,16.90
15283,2,4,3,2,2,9,2,16.25
15284,2,5,3,2,2,9,2,17.98
15285,2,1,3,2,1,9,2,24.80
15286,2,2,3,2,1,9,2,22.80
15287,2,3,3,2,1,9,2,21.90
15288,2,4,3,2,1,9,2,22.40
15289,2,5,3,2,1,9,2,24.90
15365,2,1,3,2,5,16,3,57.00
15366,2,2,3,2,5,16,3,56.25
15367,2,3,3,2,5,16,3,61.00
15368,2,4,3,2,5,16,3,62.00
15369,2,5,3,2,5,16,3,56.00
15370,2,1,3,2,4,16,3,68.00
15371,2,2,3,2,4,16,3,66.00
15372,2,3,3,2,4,16,3,69.00
15373,2,4,3,2,4,16,3,70.00
15374,2,5,3,2,4,16,3,65.00
15375,2,1,3,2,3,16,3,74.00
15376,2,2,3,2,3,16,3,74.00
15377,2,3,3,2,3,16,3,77.00
15378,2,4,3,2,3,16,3,78.00
15379,2,5,3,2,3,16,3,74.00
15380,2,1,3,2,2,16,3,85.00
15381,2,2,3,2,2,16,3,84.00
15382,2,3,3,2,2,16,3,86.00
15383,2,4,3,2,2,16,3,89.00
15384,2,5,3,2,2,16,3,86.00
15385,2,1,3,2,1,16,3,94.00
15386,2,2,3,2,1,16,3,94.00
15387,2,3,3,2,1,16,3,94.00
15388,2,4,3,2,1,16,3,97.00
15389,2,5,3,2,1,16,3,90.00
15465,2,1,3,2,5,11,2,1.70
15466,2,2,3,2,5,11,2,1.74
15467,2,3,3,2,5,11,2,1.65
15468,2,4,3,2,5,11,2,1.53
15469,2,5,3,2,5,11,2,1.75
15470,2,1,3,2,4,11,2,1.91
15471,2,2,3,2,4,11,2,1.97
15472,2,3,3,2,4,11,2,1.88
15473,2,4,3,2,4,11,2,1.84
15474,2,5,3,2,4,11,2,1.91
15475,2,1,3,2,3,11,2,2.21
15476,2,2,3,2,3,11,2,2.21
15477,2,3,3,2,3,11,2,2.10
15478,2,4,3,2,3,11,2,2.06
15479,2,5,3,2,3,11,2,2.15
15480,2,1,3,2,2,11,2,2.49
15481,2,2,3,2,2,11,2,2.62
15482,2,3,3,2,2,11,2,2.45
15483,2,4,3,2,2,11,2,2.43
15484,2,5,3,2,2,11,2,2.55
15485,2,1,3,2,1,11,2,3.20
15486,2,2,3,2,1,11,2,3.16
15487,2,3,3,2,1,11,2,2.88
15488,2,4,3,2,1,11,2,2.97
15489,2,5,3,2,1,11,2,3.30
15565,2,1,3,2,1,15,3,0.14
15566,2,2,3,2,1,15,3,0.13
15567,2,3,3,2,1,15,3,0.13
15568,2,4,3,2,1,15,3,0.14
15569,2,5,3,2,1,15,3,0.13
15570,2,1,3,2,2,15,3,0.15
15571,2,2,3,2,2,15,3,0.15
15572,2,3,3,2,2,15,3,0.15
15573,2,4,3,2,2,15,3,0.15
15574,2,5,3,2,2,15,3,0.15
15575,2,1,3,2,3,15,3,0.16
15576,2,2,3,2,3,15,3,0.16
15577,2,3,3,2,3,15,3,0.16
15578,2,4,3,2,3,15,3,0.16
15579,2,5,3,2,3,15,3,0.16
15580,2,1,3,2,4,15,3,0.17
15581,2,2,3,2,4,15,3,0.17
15582,2,3,3,2,4,15,3,0.17
15583,2,4,3,2,4,15,3,0.17
15584,2,5,3,2,4,15,3,0.17
15585,2,1,3,2,5,15,3,0.18
15586,2,2,3,2,5,15,3,0.18
15587,2,3,3,2,5,15,3,0.18
15588,2,4,3,2,5,15,3,0.18
15589,2,5,3,2,5,15,3,0.18
15665,2,1,3,2,5,10,2,16.60
15666,2,2,3,2,5,10,2,16.80
15667,2,3,3,2,5,10,2,16.30
15668,2,4,3,2,5,10,2,16.30
15669,2,5,3,2,5,10,2,16.90
15670,2,1,3,2,4,10,2,17.80
15671,2,2,3,2,4,10,2,17.60
15672,2,3,3,2,4,10,2,17.60
15673,2,4,3,2,4,10,2,17.40
15674,2,5,3,2,4,10,2,18.00
15675,2,1,3,2,3,10,2,18.80
15676,2,2,3,2,3,10,2,18.80
15677,2,3,3,2,3,10,2,18.70
15678,2,4,3,2,3,10,2,18.45
15679,2,5,3,2,3,10,2,19.10
15680,2,1,3,2,2,10,2,20.04
15681,2,2,3,2,2,10,2,20.90
15682,2,3,3,2,2,10,2,20.61
15683,2,4,3,2,2,10,2,20.67
15684,2,5,3,2,2,10,2,20.20
15685,2,1,3,2,1,10,2,22.00
15686,2,2,3,2,1,10,2,24.20
15687,2,3,3,2,1,10,2,22.60
15688,2,4,3,2,1,10,2,22.50
15689,2,5,3,2,1,10,2,22.20
15765,2,1,3,2,5,20,3,48.00
15766,2,2,3,2,5,20,3,46.00
15767,2,3,3,2,5,20,3,47.00
15768,2,4,3,2,5,20,3,46.00
15769,2,5,3,2,5,20,3,47.00
15770,2,1,3,2,4,20,3,55.00
15771,2,2,3,2,4,20,3,55.00
15772,2,3,3,2,4,20,3,54.00
15773,2,4,3,2,4,20,3,54.00
15774,2,5,3,2,4,20,3,55.00
15775,2,1,3,2,3,20,3,63.00
15776,2,2,3,2,3,20,3,64.00
15777,2,3,3,2,3,20,3,62.00
15778,2,4,3,2,3,20,3,61.00
15779,2,5,3,2,3,20,3,62.75
15780,2,1,3,2,2,20,3,72.00
15781,2,2,3,2,2,20,3,76.00
15782,2,3,3,2,2,20,3,75.10
15783,2,4,3,2,2,20,3,73.00
15784,2,5,3,2,2,20,3,76.00
15785,2,1,3,2,1,20,3,80.00
15786,2,2,3,2,1,20,3,80.00
15787,2,3,3,2,1,20,3,80.00
15788,2,4,3,2,1,20,3,80.00
15789,2,5,3,2,1,20,3,80.00
15865,2,1,3,2,5,19,3,48.00
15866,2,2,3,2,5,19,3,47.25
15867,2,3,3,2,5,19,3,48.00
15868,2,4,3,2,5,19,3,47.00
15869,2,5,3,2,5,19,3,47.00
15870,2,1,3,2,4,19,3,53.00
15871,2,2,3,2,4,19,3,55.00
15872,2,3,3,2,4,19,3,54.00
15873,2,4,3,2,4,19,3,54.00
15874,2,5,3,2,4,19,3,54.00
15875,2,1,3,2,3,19,3,58.75
15876,2,2,3,2,3,19,3,61.00
15877,2,3,3,2,3,19,3,61.00
15878,2,4,3,2,3,19,3,60.00
15879,2,5,3,2,3,19,3,60.00
15880,2,1,3,2,2,19,3,66.00
15881,2,2,3,2,2,19,3,66.00
15882,2,3,3,2,2,19,3,69.00
15883,2,4,3,2,2,19,3,67.00
15884,2,5,3,2,2,19,3,67.00
15885,2,1,3,2,1,19,3,72.00
15886,2,2,3,2,1,19,3,70.00
15887,2,3,3,2,1,19,3,74.00
15888,2,4,3,2,1,19,3,72.00
15889,2,5,3,2,1,19,3,76.00
15965,2,1,3,2,5,18,3,44.00
15966,2,2,3,2,5,18,3,43.25
15967,2,3,3,2,5,18,3,48.00
15968,2,4,3,2,5,18,3,49.00
15969,2,5,3,2,5,18,3,43.00
15970,2,1,3,2,4,18,3,54.50
15971,2,2,3,2,4,18,3,53.00
15972,2,3,3,2,4,18,3,56.00
15973,2,4,3,2,4,18,3,57.00
15974,2,5,3,2,4,18,3,52.00
15975,2,1,3,2,3,18,3,61.00
15976,2,2,3,2,3,18,3,61.00
15977,2,3,3,2,3,18,3,64.00
15978,2,4,3,2,3,18,3,64.00
15979,2,5,3,2,3,18,3,61.00
15980,2,1,3,2,2,18,3,72.00
15981,2,2,3,2,2,18,3,70.75
15982,2,3,3,2,2,18,3,72.00
15983,2,4,3,2,2,18,3,75.00
15984,2,5,3,2,2,18,3,72.00
15985,2,1,3,2,1,18,3,79.00
15986,2,2,3,2,1,18,3,79.00
15987,2,3,3,2,1,18,3,80.00
15988,2,4,3,2,1,18,3,80.00
15989,2,5,3,2,1,18,3,76.00
16065,2,1,3,2,5,30,6,40.00
16066,2,2,3,2,5,30,6,39.00
16067,2,3,3,2,5,30,6,41.25
16068,2,4,3,2,5,30,6,39.00
16069,2,5,3,2,5,30,6,43.75
16070,2,1,3,2,4,30,6,51.00
16071,2,2,3,2,4,30,6,49.00
16072,2,3,3,2,4,30,6,52.00
16073,2,4,3,2,4,30,6,49.00
16074,2,5,3,2,4,30,6,52.00
16075,2,1,3,2,3,30,6,60.75
16076,2,2,3,2,3,30,6,58.75
16077,2,3,3,2,3,30,6,60.75
16078,2,4,3,2,3,30,6,59.00
16079,2,5,3,2,3,30,6,59.00
16080,2,1,3,2,2,30,6,74.00
16081,2,2,3,2,2,30,6,70.55
16082,2,3,3,2,2,30,6,72.90
16083,2,4,3,2,2,30,6,72.00
16084,2,5,3,2,2,30,6,67.00
16085,2,1,3,2,1,30,6,83.00
16086,2,2,3,2,1,30,6,82.00
16087,2,3,3,2,1,30,6,86.00
16088,2,4,3,2,1,30,6,82.00
16089,2,5,3,2,1,30,6,87.00
16165,2,1,3,2,5,23,6,17.00
16166,2,2,3,2,5,23,6,17.25
16167,2,3,3,2,5,23,6,16.00
16168,2,4,3,2,5,23,6,17.75
16169,2,5,3,2,5,23,6,16.00
16170,2,1,3,2,4,23,6,22.00
16171,2,2,3,2,4,23,6,23.00
16172,2,3,3,2,4,23,6,24.00
16173,2,4,3,2,4,23,6,23.00
16174,2,5,3,2,4,23,6,22.00
16175,2,1,3,2,3,23,6,38.00
16176,2,2,3,2,3,23,6,37.50
16177,2,3,3,2,3,23,6,45.00
16178,2,4,3,2,3,23,6,38.50
16179,2,5,3,2,3,23,6,36.00
16180,2,1,3,2,2,23,6,71.30
16181,2,2,3,2,2,23,6,72.10
16182,2,3,3,2,2,23,6,66.00
16183,2,4,3,2,2,23,6,68.00
16184,2,5,3,2,2,23,6,70.55
16185,2,1,3,2,1,23,6,87.00
16186,2,2,3,2,1,23,6,90.00
16187,2,3,3,2,1,23,6,92.00
16188,2,4,3,2,1,23,6,81.00
16189,2,5,3,2,1,23,6,91.00
16265,2,1,3,2,5,24,6,19.00
16266,2,2,3,2,5,24,6,8.25
16267,2,3,3,2,5,24,6,18.25
16268,2,4,3,2,5,24,6,16.00
16269,2,5,3,2,5,24,6,10.00
16270,2,1,3,2,4,24,6,34.00
16271,2,2,3,2,4,24,6,24.50
16272,2,3,3,2,4,24,6,33.50
16273,2,4,3,2,4,24,6,25.50
16274,2,5,3,2,4,24,6,25.50
16275,2,1,3,2,3,24,6,48.00
16276,2,2,3,2,3,24,6,47.75
16277,2,3,3,2,3,24,6,52.00
16278,2,4,3,2,3,24,6,49.00
16279,2,5,3,2,3,24,6,47.25
16280,2,1,3,2,2,24,6,67.95
16281,2,2,3,2,2,24,6,68.10
16282,2,3,3,2,2,24,6,77.95
16283,2,4,3,2,2,24,6,67.00
16284,2,5,3,2,2,24,6,67.00
16285,2,1,3,2,1,24,6,96.00
16286,2,2,3,2,1,24,6,81.00
16287,2,3,3,2,1,24,6,94.00
16288,2,4,3,2,1,24,6,98.00
16289,2,5,3,2,1,24,6,93.00
16365,2,1,3,2,5,25,6,38.25
16366,2,2,3,2,5,25,6,42.25
16367,2,3,3,2,5,25,6,43.00
16368,2,4,3,2,5,25,6,42.00
16369,2,5,3,2,5,25,6,40.75
16370,2,1,3,2,4,25,6,46.00
16371,2,2,3,2,4,25,6,58.00
16372,2,3,3,2,4,25,6,58.00
16373,2,4,3,2,4,25,6,56.00
16374,2,5,3,2,4,25,6,45.00
16375,2,1,3,2,3,25,6,61.00
16376,2,2,3,2,3,25,6,62.00
16377,2,3,3,2,3,25,6,63.00
16378,2,4,3,2,3,25,6,62.00
16379,2,5,3,2,3,25,6,60.25
16380,2,1,3,2,2,25,6,91.15
16381,2,2,3,2,2,25,6,80.00
16382,2,3,3,2,2,25,6,88.60
16383,2,4,3,2,2,25,6,78.00
16384,2,5,3,2,2,25,6,78.00
16385,2,1,3,2,1,25,6,97.00
16386,2,2,3,2,1,25,6,98.00
16387,2,3,3,2,1,25,6,99.00
16388,2,4,3,2,1,25,6,99.00
16389,2,5,3,2,1,25,6,97.00
16465,2,1,3,2,5,26,6,46.00
16466,2,2,3,2,5,26,6,46.00
16467,2,3,3,2,5,26,6,48.00
16468,2,4,3,2,5,26,6,42.00
16469,2,5,3,2,5,26,6,42.00
